Tribunal,Competencia,Causa,Fecha/Hora,Estado Remate
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1874-2026,23/09/2026 12:00,Agendado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-61674-2010,23/09/2026 12:00,Reprogramado
JUZGADO DE LETRAS Y GARANTIA DE LAJA,Civil,C-81-2026,22/09/2026 12:05,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-250-2026,22/09/2026 12:00,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-5658-2023,22/09/2026 12:00,Reprogramado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1427-2024,22/09/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-583-2025,22/09/2026 11:30,Reprogramado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-4113-2024,22/09/2026 11:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-2119-2021,22/09/2026 11:30,Reprogramado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-445-2026,22/09/2026 11:00,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-2079-2022,22/09/2026 10:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-3363-2024,22/09/2026 10:00,Reprogramado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1389-2025,21/09/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-2995-2015,21/09/2026 11:30,Reprogramado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-621-2026,16/09/2026 12:00,Agendado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-162-2022,16/09/2026 11:30,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-2433-2024,16/09/2026 10:01,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-444-2026,15/09/2026 13:00,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1805-2025,15/09/2026 12:30,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-891-2026,15/09/2026 12:00,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-1302-2026,15/09/2026 12:00,Agendado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-1788-2026,15/09/2026 11:30,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-5348-2025,15/09/2026 11:30,Reprogramado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-566-2026,15/09/2026 11:00,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-2739-2025,15/09/2026 11:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-6227-2017,15/09/2026 10:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-2736-2025,15/09/2026 10:00,Reprogramado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1244-2026,14/09/2026 12:00,Agendado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-6460-2025,11/09/2026 12:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-2764-2025,11/09/2026 12:00,Agendado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-5011-2023,11/09/2026 12:00,Agendado
2º JUZGADO DE LETRAS DE CORONEL,Civil,C-509-2025,11/09/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-266-2023,11/09/2026 11:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-6707-2023,11/09/2026 11:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-1456-2026,11/09/2026 10:30,Agendado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-6457-2024,11/09/2026 10:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-3190-2025,11/09/2026 10:00,Agendado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-4784-2024,11/09/2026 10:00,Reprogramado
JUZGADO DE LETRAS Y GARANTIA DE LOTA,Civil,C-220-2022,11/09/2026 10:00,Agendado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-3729-2023,11/09/2026 09:45,Reprogramado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-3062-2025,11/09/2026 09:00,Agendado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-1957-2024,11/09/2026 09:00,Reprogramado
1º JUZGADO CIVIL DE TALCAHUANO,Civil,C-552-2025,10/09/2026 12:00,Reprogramado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1243-2026,10/09/2026 12:00,Agendado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-1580-2021,10/09/2026 11:30,Reprogramado
JUZGADO DE LETRAS DE TOME,Civil,C-287-2026,09/09/2026 12:00,Agendado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1242-2026,09/09/2026 12:00,Agendado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-1085-2024,09/09/2026 11:30,Agendado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-3255-2025,09/09/2026 11:30,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1910-2026,09/09/2026 11:00,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-5028-2022,08/09/2026 12:00,Reprogramado
1º JUZGADO CIVIL DE TALCAHUANO,Civil,C-3164-2016,08/09/2026 12:00,Reprogramado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-2507-2025,08/09/2026 12:00,Agendado
1º JUZGADO DE LETRAS DE CORONEL,Civil,C-262-2021,08/09/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-3324-2024,08/09/2026 11:30,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-3661-2024,08/09/2026 11:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-1934-2024,08/09/2026 11:00,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-4776-2024,08/09/2026 10:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-5795-2024,08/09/2026 10:00,Reprogramado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1128-2022,07/09/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-2716-2025,07/09/2026 11:30,Reprogramado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-90-2022,04/09/2026 12:30,Agendado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-3034-2014,04/09/2026 12:30,Reprogramado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-6514-2023,04/09/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-6123-2020,04/09/2026 12:00,Reprogramado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-381-2025,04/09/2026 12:00,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-3931-2025,04/09/2026 11:30,Agendado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-1696-2025,04/09/2026 11:15,Agendado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-5454-2025,04/09/2026 11:00,Reprogramado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-5723-2025,04/09/2026 10:30,Reprogramado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-4937-2024,04/09/2026 10:30,Reprogramado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-7691-2024,04/09/2026 10:00,Reprogramado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-16-2025,04/09/2026 09:45,Agendado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-3923-2024,04/09/2026 09:30,Reprogramado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-4063-2025,04/09/2026 09:00,Agendado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-4046-2025,04/09/2026 09:00,Reprogramado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1502-2023,03/09/2026 12:00,Reprogramado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1069-2025,02/09/2026 13:00,Agendado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-3234-2025,02/09/2026 12:00,Agendado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-728-2026,02/09/2026 11:30,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-3329-2024,02/09/2026 11:00,Agendado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-196-2025,01/09/2026 12:00,Agendado
